DATE,EXINUS
1973-01-01,8.0041
1973-02-01,7.7538
1973-03-01,7.5465
1973-04-01,7.5462
1973-05-01,7.4927
1973-06-01,7.2719
1973-07-01,7.3510
1973-08-01,7.5643
1973-09-01,7.7000
1973-10-01,7.7271
1973-11-01,7.8340
1973-12-01,8.1100
1974-01-01,8.4377
1974-02-01,8.2444
1974-03-01,8.0567
1974-04-01,7.8655
1974-05-01,7.7855
1974-06-01,7.8490
1974-07-01,7.8345
1974-08-01,7.9841
1974-09-01,8.1210
1974-10-01,8.0505
1974-11-01,8.0644
1974-12-01,8.0952
1975-01-01,8.1300
1975-02-01,7.9717
1975-03-01,7.7500
1975-04-01,7.8841
1975-05-01,8.0700
1975-06-01,8.1914
1975-07-01,8.4895
1975-08-01,8.7895
1975-09-01,8.8648
1975-10-01,8.8945
1975-11-01,8.8994
1975-12-01,8.9827
1976-01-01,8.9471
1976-02-01,8.9389
1976-03-01,8.9648
1976-04-01,8.9918
1976-05-01,9.0265
1976-06-01,9.1109
1976-07-01,8.9233
1976-08-01,8.9755
1976-09-01,9.0614
1976-10-01,8.8960
1976-11-01,8.9658
1976-12-01,8.8535
1977-01-01,8.9052
1977-02-01,8.8626
1977-03-01,8.8417
1977-04-01,8.8429
1977-05-01,8.8338
1977-06-01,8.8605
1977-07-01,8.8163
1977-08-01,8.7213
1977-09-01,8.7300
1977-10-01,8.6150
1977-11-01,8.6405
1977-12-01,8.5371
1978-01-01,8.2010
1978-02-01,8.1094
1978-03-01,8.2078
1978-04-01,8.4650
1978-05-01,8.5827
1978-06-01,8.4041
1978-07-01,8.1665
1978-08-01,8.0139
1978-09-01,8.0365
1978-10-01,7.9110
1978-11-01,8.0335
1978-12-01,8.2160
1979-01-01,8.2091
1979-02-01,8.2500
1979-03-01,8.2418
1979-04-01,8.2062
1979-05-01,8.2891
1979-06-01,8.1190
1979-07-01,7.9067
1979-08-01,8.0113
1979-09-01,8.1358
1979-10-01,8.2259
1979-11-01,8.1926
1979-12-01,8.0995
1980-01-01,7.9882
1980-02-01,7.9816
1980-03-01,8.1519
1980-04-01,8.0700
1980-05-01,7.8586
1980-06-01,7.8424
1980-07-01,7.7664
1980-08-01,7.7824
1980-09-01,7.7495
1980-10-01,7.7323
1980-11-01,7.7712
1980-12-01,7.9314
1981-01-01,7.9576
1981-02-01,8.2211
1981-03-01,8.2432
1981-04-01,8.2918
1981-05-01,8.4045
1981-06-01,8.5564
1981-07-01,8.9065
1981-08-01,9.0605
