Date,Rate,ISO Code From,ISO Code To
"8/9/2018 Thursday",68.87715,USD,INR
"8/10/2018 Friday",69.09521,USD,INR
"8/12/2018 Sunday",69.09378,USD,INR
"8/13/2018 Monday",69.91859,USD,INR
"8/14/2018 Tuesday",69.97210,USD,INR
"8/15/2018 Wednesday",70.27033,USD,INR
"8/16/2018 Thursday",70.04967,USD,INR
"8/17/2018 Friday",69.75840,USD,INR
"8/19/2018 Sunday",69.79431,USD,INR
"8/20/2018 Monday",69.81981,USD,INR
"8/21/2018 Tuesday",69.81823,USD,INR
"8/22/2018 Wednesday",69.86603,USD,INR
"8/23/2018 Thursday",70.29998,USD,INR
"8/24/2018 Friday",69.71502,USD,INR
"8/26/2018 Sunday",69.79680,USD,INR
"8/27/2018 Monday",69.95924,USD,INR
"8/28/2018 Tuesday",70.10845,USD,INR
"8/29/2018 Wednesday",70.60838,USD,INR
"8/30/2018 Thursday",71.06404,USD,INR
"8/31/2018 Friday",70.93461,USD,INR
"9/2/2018 Sunday",70.83833,USD,INR
"9/3/2018 Monday",71.21275,USD,INR
"9/4/2018 Tuesday",71.39872,USD,INR
"9/5/2018 Wednesday",71.49853,USD,INR
"9/6/2018 Thursday",71.94305,USD,INR
"9/7/2018 Friday",71.99257,USD,INR
"9/9/2018 Sunday",72.08250,USD,INR
"9/10/2018 Monday",72.50162,USD,INR
"9/11/2018 Tuesday",72.80658,USD,INR
"9/12/2018 Wednesday",72.14854,USD,INR
"9/13/2018 Thursday",71.61023,USD,INR
"9/14/2018 Friday",71.86159,USD,INR
"9/16/2018 Sunday",72.11636,USD,INR
"9/17/2018 Monday",72.53565,USD,INR
"9/18/2018 Tuesday",72.98464,USD,INR
"9/19/2018 Wednesday",71.99223,USD,INR
"9/20/2018 Thursday",72.02247,USD,INR
"9/21/2018 Friday",72.18193,USD,INR
"9/23/2018 Sunday",72.24333,USD,INR
"9/24/2018 Monday",72.67006,USD,INR
"9/25/2018 Tuesday",72.68517,USD,INR
"9/26/2018 Wednesday",72.59953,USD,INR
"9/28/2018 Friday",72.45082,USD,INR
"9/30/2018 Sunday",72.51380,USD,INR
"10/1/2018 Monday",73.36337,USD,INR
"10/2/2018 Tuesday",72.93067,USD,INR
"10/3/2018 Wednesday",73.85230,USD,INR
"10/4/2018 Thursday",73.62904,USD,INR
"10/5/2018 Friday",74.08356,USD,INR
"10/7/2018 Sunday",73.77475,USD,INR
"10/8/2018 Monday",74.06842,USD,INR
"10/9/2018 Tuesday",74.11213,USD,INR
"10/10/2018 Wednesday",74.26132,USD,INR
"10/11/2018 Thursday",73.82451,USD,INR
"10/12/2018 Friday",73.51821,USD,INR
"10/14/2018 Sunday",73.83554,USD,INR
"10/15/2018 Monday",73.73174,USD,INR
"10/16/2018 Tuesday",73.46239,USD,INR
"10/17/2018 Wednesday",73.80120,USD,INR
"10/18/2018 Thursday",73.52631,USD,INR
"10/19/2018 Friday",73.42399,USD,INR
"10/21/2018 Sunday",73.46875,USD,INR
"10/22/2018 Monday",73.56048,USD,INR
"10/23/2018 Tuesday",73.24761,USD,INR
"10/24/2018 Wednesday",73.70180,USD,INR
"10/25/2018 Thursday",73.24263,USD,INR
"10/26/2018 Friday",73.35990,USD,INR
"10/28/2018 Sunday",73.13590,USD,INR
"10/29/2018 Monday",73.87000,USD,INR
"10/30/2018 Tuesday",73.66000,USD,INR
"10/31/2018 Wednesday",74.09810,USD,INR
"11/1/2018 Thursday",73.08824,USD,INR
"11/2/2018 Friday",72.91756,USD,INR
"11/4/2018 Sunday",72.91463,USD,INR
"11/5/2018 Monday",73.08036,USD,INR
"11/6/2018 Tuesday",72.94545,USD,INR
"11/7/2018 Wednesday",72.45253,USD,INR
"11/8/2018 Thursday",72.37707,USD,INR
"11/9/2018 Friday",72.46082,USD,INR
"11/11/2018 Sunday",72.46241,USD,INR
"11/12/2018 Monday",72.85581,USD,INR
"11/13/2018 Tuesday",72.61565,USD,INR
"11/14/2018 Wednesday",72.31447,USD,INR
"11/15/2018 Thursday",71.91417,USD,INR
"11/16/2018 Friday",71.77871,USD,INR
"11/18/2018 Sunday",71.78157,USD,INR
"11/19/2018 Monday",71.61087,USD,INR
"11/20/2018 Tuesday",71.42574,USD,INR
"11/21/2018 Wednesday",71.30549,USD,INR
"11/22/2018 Thursday",70.69535,USD,INR
"11/23/2018 Friday",70.65008,USD,INR
"11/25/2018 Sunday",70.71260,USD,INR
"11/26/2018 Monday",70.82072,USD,INR
"11/27/2018 Tuesday",70.81882,USD,INR
"11/28/2018 Wednesday",70.63847,USD,INR
"11/29/2018 Thursday",69.78077,USD,INR
"11/30/2018 Friday",69.78233,USD,INR
"12/2/2018 Sunday",69.77004,USD,INR
"12/3/2018 Monday",70.49068,USD,INR
